Office_Code,Office_Name,Location,Manager,Total_Revenue
0036,Sucursal 0036,Cáceres,Remigio Ferrando,26421.39
0037,Sucursal 0037,Ávila,Olegario Villaverde,21889.54
0038,Sucursal 0038,Sevilla,Juanito Crespo,6314.709999999999
0039,Sucursal 0039,Lleida,Hortensia Rios,11566.77
0040,Sucursal 0040,Santa Cruz de Tenerife,Andrés Tovar,31525.41
0042,Sucursal 0042,Santa Cruz de Tenerife,Remedios Cortes,6150.18
0043,Sucursal 0043,La Rioja,Jovita Acevedo,19712.73
0044,Sucursal 0044,León,Evita Cañete,10209.8
0045,Sucursal 0045,Guadalajara,Crescencia Fernandez,6604.77
0046,Sucursal 0046,Girona,Mohamed Arroyo,2085.19
0047,Sucursal 0047,Córdoba,Jesusa Cervantes,15963.79
0048,Sucursal 0048,Baleares,Marcelino Cabo,14539.83
0049,Sucursal 0049,Baleares,Leopoldo Juan,15204.630000000001
0050,Sucursal 0050,Tarragona,Elpidio Andrade,11168.210000000001
0051,Sucursal 0051,Málaga,Maite Asenjo,6255.52
0052,Sucursal 0052,Segovia,Bernardino Mayoral,8756.44
0054,Sucursal 0054,Murcia,Ismael Urrutia,2918.95
0055,Sucursal 0055,Ceuta,Áurea Polo,5222.42
0056,Sucursal 0056,Cádiz,Roberto Matas,22886.3
0057,Sucursal 0057,Lleida,Elba Casares,7485.62
0058,Sucursal 0058,Guipúzcoa,Matilde Estrada,3055.66
0059,Sucursal 0059,Ávila,José Pinto,25608.41
0060,Sucursal 0060,Madrid,Isabel Heredia,10332.69
0061,Sucursal 0061,Sevilla,Prudencia Barberá,20369.27
0062,Sucursal 0062,Badajoz,Renato Pinedo,18318.13
0063,Sucursal 0063,Valencia,Josep Bello,15287.67
0064,Sucursal 0064,Baleares,Néstor Rios,19898.07
0065,Sucursal 0065,Huesca,Andrea Catalán,27326.199999999997
0066,Sucursal 0066,Badajoz,Julie Arellano,12788.83
0068,Sucursal 0068,Melilla,Toño Osuna,20929.92
0069,Sucursal 0069,Asturias,Dionisia Zamora,14794.74
0070,Sucursal 0070,Huelva,Elisa Hoz,2456.76
0071,Sucursal 0071,Castellón,Hugo Rovira,5577.97
0072,Sucursal 0072,Murcia,Etelvina Carbonell,2228.21
0073,Sucursal 0073,Melilla,Fabricio Araujo,6084.02
0074,Sucursal 0074,Ceuta,Belen Batlle,7957.07
0075,Sucursal 0075,Soria,Onofre Mora,7266.29
0076,Sucursal 0076,Zamora,Flavia Palomino,13915.880000000001
0077,Sucursal 0077,Alicante,Fabio Colom,20100.39
0078,Sucursal 0078,Lugo,Lalo Andrés,28812.38
0079,Sucursal 0079,La Coruña,Cleto Ferrando,19244.7
0080,Sucursal 0080,Girona,Primitiva Crespo,3649.18
0081,Sucursal 0081,Salamanca,Celso Gabaldón,11439.580000000002
0082,Sucursal 0082,Zaragoza,Fabián Pedrosa,18716.34
0083,Sucursal 0083,Guadalajara,Tadeo Arco,3181.63
0084,Sucursal 0084,Valencia,Vicenta Gonzalo,2299.63
0085,Sucursal 0085,Málaga,Hilda Barral,9260.25
0086,Sucursal 0086,Ceuta,Manuelita Rodríguez,14098.18
0087,Sucursal 0087,Sevilla,Elodia Font,17082.9
0088,Sucursal 0088,Álava,Gervasio Pinedo,18080.93
0089,Sucursal 0089,Cáceres,Belén Belda,16884.1
0090,Sucursal 0090,Ávila,Bruno Solé,4445.28
0091,Sucursal 0091,Murcia,Elodia Boix,16124.03
0092,Sucursal 0092,Murcia,Gregorio Serna,28041.22
0093,Sucursal 0093,Ceuta,Damián Almazán,25459.96
0094,Sucursal 0094,Las Palmas,Calixto Balaguer,13535.95
0095,Sucursal 0095,La Coruña,Fabiana Gallart,5273.65
0096,Sucursal 0096,Madrid,Julie Riba,4340.15
0097,Sucursal 0097,Granada,Narciso Almeida,16638.11
0098,Sucursal 0098,Ceuta,Adoración Raya,13208.400000000001
0099,Sucursal 0099,Badajoz,José Montero,9709.16
0100,Sucursal 0100,Badajoz,Candelaria Dueñas,13304.78
0101,Sucursal 0101,Ávila,Claudia Quintana,10240.78
0102,Sucursal 0102,La Coruña,Cosme Padilla,16100.17
0103,Sucursal 0103,Albacete,Nicodemo Armas,21663.03
0104,Sucursal 0104,Melilla,Jose Miguel Agustín,29461.68
0105,Sucursal 0105,Asturias,Víctor Bustos,3734.0
0106,Sucursal 0106,Huelva,Rico Fabra,17247.85
0107,Sucursal 0107,Valladolid,Máximo Sanmartín,14829.119999999999
0108,Sucursal 0108,Barcelona,Óscar Duque,33008.39
0109,Sucursal 0109,La Rioja,Bibiana Montero,7506.65
0110,Sucursal 0110,Valencia,Galo Aguilar,7621.58
0111,Sucursal 0111,Badajoz,Jimena Benavides,16615.26
0112,Sucursal 0112,Burgos,Lino Vendrell,18435.72
0113,Sucursal 0113,Soria,Úrsula Porras,14407.67
0114,Sucursal 0114,Almería,Gabino Morcillo,14352.98
0115,Sucursal 0115,Santa Cruz de Tenerife,Rosendo Mendoza,19636.91
0116,Sucursal 0116,Zamora,Mamen Ruiz,16371.52
0117,Sucursal 0117,Palencia,Humberto Garay,23209.52
0118,Sucursal 0118,Pontevedra,Arsenio Oliva,19919.42
0119,Sucursal 0119,Lugo,Ainara Mena,13197.44
0120,Sucursal 0120,Soria,Baltasar Córdoba,7090.21
0121,Sucursal 0121,Huesca,Mauricio Oliver,5620.7
0122,Sucursal 0122,Ourense,Pepita Baños,7478.2
0123,Sucursal 0123,Albacete,Vilma Aragón,4633.16
0124,Sucursal 0124,La Rioja,Eduardo Escolano,14758.42
0125,Sucursal 0125,Baleares,Sebastián Fuentes,7832.900000000001
0126,Sucursal 0126,Jaén,Cornelio Mendoza,23862.86
0127,Sucursal 0127,Granada,Eustaquio Sedano,7590.93
0128,Sucursal 0128,Las Palmas,Calixto Malo,13074.6
0129,Sucursal 0129,Ávila,Patricia Vélez,12791.07
0130,Sucursal 0130,Las Palmas,Vanesa Atienza,10195.83
0131,Sucursal 0131,León,Inmaculada Carranza,6242.95
0132,Sucursal 0132,Badajoz,Édgar Ribes,19222.94
0133,Sucursal 0133,Girona,Melania Roca,23051.53
0134,Sucursal 0134,Soria,Victorino Zaragoza,16376.350000000002
0135,Sucursal 0135,Melilla,Javi Catalá,10151.68
0136,Sucursal 0136,Toledo,María Cristina Mercader,20626.72
0137,Sucursal 0137,Guipúzcoa,Virgilio Morán,4107.54
0138,Sucursal 0138,Córdoba,Plinio Pulido,9129.56
0139,Sucursal 0139,Granada,Juan Pablo Martinez,8925.22
0140,Sucursal 0140,Albacete,Ariadna Ricart,8695.64
0141,Sucursal 0141,Alicante,Felipe Delgado,7427.63
0142,Sucursal 0142,Cantabria,Óscar Lillo,35059.0
0143,Sucursal 0143,Ceuta,Rafaela Salvà,10747.36
0144,Sucursal 0144,Pontevedra,Dominga Ojeda,18688.02
0145,Sucursal 0145,Zamora,Ester Donaire,31624.69
0146,Sucursal 0146,Girona,Consuelo Gracia,6166.24
0147,Sucursal 0147,Ciudad,Adoración Barco,7511.83
0148,Sucursal 0148,Málaga,Genoveva Iñiguez,34213.49
0149,Sucursal 0149,Baleares,Salvador Gilabert,11084.97
0150,Sucursal 0150,Huelva,Eva María Campillo,5311.85
0151,Sucursal 0151,Barcelona,Susana Quiroga,20795.39
0152,Sucursal 0152,Cuenca,Emilia Hervás,15025.32
0153,Sucursal 0153,Burgos,Rosario Rico,9921.0
0154,Sucursal 0154,Santa Cruz de Tenerife,Martina Porcel,2428.14
0155,Sucursal 0155,Tarragona,Rosa Heras,17372.11
0156,Sucursal 0156,Lugo,Martirio Flores,31058.04
0157,Sucursal 0157,Burgos,Trini Jódar,21616.82
0158,Sucursal 0158,León,Osvaldo Ribes,13508.71
0159,Sucursal 0159,Zaragoza,Luna Mayoral,25882.64
0160,Sucursal 0160,Madrid,Clotilde Barral,30303.78
0161,Sucursal 0161,Ourense,Marcial Sedano,7261.1900000000005
0162,Sucursal 0162,Albacete,Charo Llamas,6364.469999999999
0163,Sucursal 0163,Granada,Vanesa Oliveras,13835.130000000001
0164,Sucursal 0164,Cuenca,Adrián Falcón,16385.29
0165,Sucursal 0165,Ceuta,Jerónimo Segura,19548.91
0166,Sucursal 0166,Valencia,Guadalupe Casado,15226.08
0167,Sucursal 0167,Asturias,Alicia Alsina,16486.45
0168,Sucursal 0168,Zamora,Telmo Gracia,6544.59
0169,Sucursal 0169,León,María Teresa Solé,16642.22
0170,Sucursal 0170,Soria,Irene Mercader,15635.72
0171,Sucursal 0171,Córdoba,Roberto Marquez,24535.58
0172,Sucursal 0172,Granada,Josefina Feliu,38255.07
0173,Sucursal 0173,Ciudad,Maxi Barriga,22595.699999999997
0174,Sucursal 0174,Santa Cruz de Tenerife,Flavio Anglada,34553.520000000004
0175,Sucursal 0175,Guadalajara,Danilo Gisbert,10200.07
0176,Sucursal 0176,Las Palmas,Bautista Recio,16015.17
0178,Sucursal 0178,Pontevedra,Ismael Badía,7611.93
0179,Sucursal 0179,Cádiz,Nicolasa Matas,2263.01
0180,Sucursal 0180,Castellón,Luciano Oliveras,6445.83
0181,Sucursal 0181,Cuenca,Amando Nevado,8713.68
0182,Sucursal 0182,León,Cecilia Ortiz,10609.31
0183,Sucursal 0183,Lugo,Dorita Mir,10331.04
0184,Sucursal 0184,Murcia,Cintia Cuenca,2961.86
0185,Sucursal 0185,Tarragona,Dora Piña,9848.51
0186,Sucursal 0186,Santa Cruz de Tenerife,Estela Marqués,14874.76
0187,Sucursal 0187,Las Palmas,Anita Rovira,21170.08
0188,Sucursal 0188,Córdoba,Carmelo Saez,19706.670000000002
0189,Sucursal 0189,Valencia,Florina Luz,5643.13
0190,Sucursal 0190,Salamanca,Regina Urrutia,6952.24
0191,Sucursal 0191,Segovia,Flavia Valverde,1445.56
0192,Sucursal 0192,Girona,Calixto Noriega,15451.15
0193,Sucursal 0193,Salamanca,Maura Téllez,13968.18
0194,Sucursal 0194,Burgos,Eufemia Rosell,10886.3
0195,Sucursal 0195,Huelva,Sebastián Barral,27877.19
0196,Sucursal 0196,Zamora,Casemiro Larrañaga,26102.58
0197,Sucursal 0197,Teruel,Custodio Cañellas,6970.01
0198,Sucursal 0198,Murcia,Anna Salazar,15611.6
0199,Sucursal 0199,Albacete,Samu Lladó,4287.93
0200,Sucursal 0200,Las Palmas,Lucila Larrea,8429.74
0201,Sucursal 0201,Melilla,Esther Bonet,43025.46
0203,Sucursal 0203,Palencia,Imelda Neira,29217.65
0204,Sucursal 0204,Castellón,Sancho Coronado,13531.88
0205,Sucursal 0205,Huesca,Quique Cabo,11708.74
0206,Sucursal 0206,Valencia,Ceferino Exposito,11058.630000000001
0207,Sucursal 0207,Santa Cruz de Tenerife,Elodia Lobato,9889.18
0208,Sucursal 0208,Madrid,Carmen Vidal,13581.8
0209,Sucursal 0209,León,Marcia Berenguer,26138.87
0210,Sucursal 0210,Cádiz,Bartolomé Guillen,3037.15
0212,Sucursal 0212,Ávila,Sosimo Rodríguez,55797.88
0213,Sucursal 0213,Almería,Toribio Checa,11971.93
0214,Sucursal 0214,Jaén,Azeneth Hoz,12024.14
0215,Sucursal 0215,Guadalajara,Chus Sevillano,7199.67
0216,Sucursal 0216,Cantabria,Itziar Coll,26906.1
0217,Sucursal 0217,Barcelona,Pepito Contreras,37411.82
0218,Sucursal 0218,Asturias,Heliodoro Ortiz,24842.07
0219,Sucursal 0219,Córdoba,Irma Jiménez,14808.52
0220,Sucursal 0220,Cáceres,Esteban Cuesta,12436.67
0221,Sucursal 0221,Sevilla,Eligia Fábregas,9324.42
0222,Sucursal 0222,Navarra,Jose Ramón Verdú,14359.93
0223,Sucursal 0223,Segovia,Sara Bolaños,14154.09
0224,Sucursal 0224,La Rioja,Jovita Cabello,23327.32
0225,Sucursal 0225,Salamanca,Hipólito Antúnez,7800.03
0227,Sucursal 0227,Las Palmas,Bibiana Méndez,24280.64
0228,Sucursal 0228,Ourense,Angélica Reig,13333.51
0229,Sucursal 0229,Palencia,Cirino Marco,13359.49
0230,Sucursal 0230,Álava,Begoña Baeza,6143.860000000001
0231,Sucursal 0231,Baleares,Aníbal Julián,14669.2
0232,Sucursal 0232,Zaragoza,Isabel Amaya,24758.96
0233,Sucursal 0233,Badajoz,Moreno Arco,25618.3
0234,Sucursal 0234,Vizcaya,Darío Mesa,6212.3
0235,Sucursal 0235,Jaén,Juan Luis Valenzuela,13185.34
0236,Sucursal 0236,Huelva,Nydia Arjona,5432.18
0237,Sucursal 0237,Segovia,Eliana Miralles,10613.72
0238,Sucursal 0238,Baleares,Máxima Rosselló,27997.96
0239,Sucursal 0239,Ourense,Cleto Aroca,4437.98
0240,Sucursal 0240,Barcelona,Severiano Mate,4080.99
0242,Sucursal 0242,Burgos,Ascensión Cañete,14943.6
0243,Sucursal 0243,Valladolid,Buenaventura Pombo,10225.51
0244,Sucursal 0244,Toledo,Pelayo Múgica,8699.96
0245,Sucursal 0245,Segovia,Martirio Teruel,12450.17
0246,Sucursal 0246,Ciudad,Cruz Vilar,47151.6
0247,Sucursal 0247,Girona,Macarena Conde,15708.98
0248,Sucursal 0248,Guipúzcoa,Onofre Medina,4778.08
0249,Sucursal 0249,Girona,Amor Marqués,6607.17
0250,Sucursal 0250,Sevilla,Pelayo Boix,8378.32
0251,Sucursal 0251,Ceuta,Trini Prat,7164.299999999999
0252,Sucursal 0252,Valladolid,Quique Iñiguez,6060.66
0253,Sucursal 0253,Burgos,Juan Antonio Carro,16995.4
0254,Sucursal 0254,Córdoba,Miguela Barroso,18306.54
0255,Sucursal 0255,Huesca,Fátima Angulo,7722.22
0256,Sucursal 0256,Cáceres,Natalia Benavent,16835.62
0257,Sucursal 0257,Ciudad,Ruben Bonilla,18296.29
0258,Sucursal 0258,Santa Cruz de Tenerife,Héctor Montaña,14076.43
0259,Sucursal 0259,Pontevedra,León Peiró,18267.65
0260,Sucursal 0260,Murcia,Claudio Pont,16072.13
0261,Sucursal 0261,Badajoz,Jovita Perera,43276.2
0262,Sucursal 0262,La Coruña,Viviana Villa,2238.0
0263,Sucursal 0263,Zaragoza,Marita Cuadrado,28511.36
0264,Sucursal 0264,León,Aitor Falcón,16251.49
0265,Sucursal 0265,Ceuta,Melchor Herrera,18274.809999999998
0266,Sucursal 0266,Melilla,Reyes Puente,9399.55
0267,Sucursal 0267,Cádiz,Fortunato Galán,8282.69
0268,Sucursal 0268,Ciudad,Maximino Luís,13765.95
0269,Sucursal 0269,Zamora,Reyes Murillo,11053.24
0270,Sucursal 0270,La Rioja,Tomás Torre,20417.0
0271,Sucursal 0271,Valencia,Sandalio Correa,25285.43
0272,Sucursal 0272,Cáceres,Ani Juliá,8843.98
0273,Sucursal 0273,Ourense,Maximino Posada,17508.03
0274,Sucursal 0274,Barcelona,Rosalía Prats,13315.64
0275,Sucursal 0275,Segovia,Nieves Vidal,16785.44
0276,Sucursal 0276,Badajoz,Albano Calvet,10162.5
0277,Sucursal 0277,Barcelona,Visitación Correa,9281.15
0278,Sucursal 0278,Ciudad,Efraín Barral,12722.259999999998
0279,Sucursal 0279,Santa Cruz de Tenerife,Lina Iniesta,4969.41
0280,Sucursal 0280,Palencia,Adriana Arteaga,14141.630000000001
0282,Sucursal 0282,Huesca,Teobaldo Abellán,24761.329999999998
0283,Sucursal 0283,Cádiz,Clímaco Rivero,36916.7
0284,Sucursal 0284,Alicante,Violeta Costa,5037.87
0285,Sucursal 0285,Jaén,María Teresa Garay,3552.72
0286,Sucursal 0286,Albacete,Pepe Terrón,10189.06
0287,Sucursal 0287,Alicante,Herberto Aller,11082.05
0288,Sucursal 0288,Ávila,Noa Barros,12164.720000000001
0289,Sucursal 0289,Ceuta,Eufemia Castro,975.08
0290,Sucursal 0290,Huelva,Pía Alvarez,18011.05
0291,Sucursal 0291,Albacete,Artemio Barroso,20029.05
0292,Sucursal 0292,Tarragona,Maxi Nuñez,8802.44
0293,Sucursal 0293,Burgos,Felix Sanjuan,1120.65
0294,Sucursal 0294,Zaragoza,María Luisa Villa,23881.83
0295,Sucursal 0295,Ourense,Roberta Cabeza,14414.62
0296,Sucursal 0296,Sevilla,Ágata Vila,10605.06
0297,Sucursal 0297,Guipúzcoa,Ileana Solsona,10276.26
0299,Sucursal 0299,Ceuta,Nicolasa Carbonell,6158.969999999999
0300,Sucursal 0300,Palencia,Dorita Ballester,19870.98
0302,Sucursal 0302,Asturias,Modesto Merino,34550.83
0303,Sucursal 0303,Ciudad,Alejo Vizcaíno,1241.37
0304,Sucursal 0304,Cuenca,Manola Camino,2177.09
0305,Sucursal 0305,Huesca,Anastasia Cruz,25412.57
0306,Sucursal 0306,Baleares,Gilberto Carrión,7613.98
0307,Sucursal 0307,Teruel,Macaria Plana,3465.66
0308,Sucursal 0308,Huelva,Dani Solís,16420.24
0309,Sucursal 0309,Las Palmas,Gloria Clavero,11079.48
0310,Sucursal 0310,Cáceres,Felix Montaña,9574.61
0311,Sucursal 0311,Alicante,Luciano Crespi,40218.25
0312,Sucursal 0312,Barcelona,Plácido Poza,7769.07
0313,Sucursal 0313,Albacete,Nicodemo Marti,17724.94
0314,Sucursal 0314,Huelva,Amelia García,26543.53
0315,Sucursal 0315,Lugo,Jose Antonio Carbajo,22097.63
0316,Sucursal 0316,Santa Cruz de Tenerife,Estrella Cantón,17944.87
0317,Sucursal 0317,Girona,Samanta Cuevas,2075.78
0320,Sucursal 0320,Guadalajara,Guadalupe Benavente,12861.89
0321,Sucursal 0321,León,Fernanda Ariño,17827.34
0322,Sucursal 0322,Teruel,Gustavo Cózar,913.5
0323,Sucursal 0323,Santa Cruz de Tenerife,Bernardino Rosado,9395.79
0324,Sucursal 0324,Almería,Dominga Iñiguez,17162.72
0325,Sucursal 0325,Cuenca,Cruz Comas,17199.92
0327,Sucursal 0327,Santa Cruz de Tenerife,Telmo Feijoo,15877.15
0328,Sucursal 0328,León,Pascual Ruano,10834.79
0329,Sucursal 0329,Murcia,Cosme Sanmiguel,10984.99
0330,Sucursal 0330,Girona,Adalberto Tur,26068.36
0331,Sucursal 0331,Almería,Teobaldo Peral,28070.38
0332,Sucursal 0332,Baleares,Clemente Nieto,9818.52
0333,Sucursal 0333,León,Paco Leon,6763.83
0334,Sucursal 0334,Lugo,Rosario Bou,17200.57
0335,Sucursal 0335,Almería,Ana Sofía Ramirez,10436.64
0336,Sucursal 0336,Toledo,Genoveva Mosquera,11838.61
0337,Sucursal 0337,Segovia,Luis Ángel Sancho,2642.51
0338,Sucursal 0338,Pontevedra,Eulalia Caballero,26476.34
0339,Sucursal 0339,Burgos,Concepción Palomares,25015.61
0340,Sucursal 0340,Las Palmas,Begoña Barba,20347.1
0342,Sucursal 0342,Navarra,Casandra Almagro,28816.329999999998
0343,Sucursal 0343,Salamanca,Adela Vizcaíno,6516.03
0344,Sucursal 0344,Toledo,Roxana Campoy,13161.76
0345,Sucursal 0345,Las Palmas,Gloria Ariño,3489.86
0346,Sucursal 0346,Madrid,Guillermo Requena,10290.51
0347,Sucursal 0347,Huelva,Virginia Huguet,17698.239999999998
0348,Sucursal 0348,Jaén,Manuelita Molins,36028.39
0349,Sucursal 0349,Guadalajara,Fabricio Echeverría,12784.560000000001
0350,Sucursal 0350,Castellón,Desiderio Castañeda,16617.690000000002
0351,Sucursal 0351,Madrid,Baudelio Bartolomé,21195.88
0352,Sucursal 0352,Palencia,Lourdes Clemente,5675.8
0353,Sucursal 0353,Lleida,Juan Francisco Figueroa,29101.07
0354,Sucursal 0354,Tarragona,Cándida Guardia,23114.52
0355,Sucursal 0355,Alicante,Eva María Alvarado,4817.51
0356,Sucursal 0356,Toledo,Íngrid Marco,16687.29
0357,Sucursal 0357,Cáceres,Elena Puig,1773.03
0358,Sucursal 0358,Castellón,Darío Sobrino,3604.3
0359,Sucursal 0359,Soria,Manuela Fuente,16722.36
0360,Sucursal 0360,Melilla,Feliciana Saavedra,11968.39
0361,Sucursal 0361,Huesca,María Belén Milla,17783.97
0362,Sucursal 0362,Cuenca,Lorena Blanca,5441.95
0363,Sucursal 0363,Las Palmas,Vera Anaya,26129.78
0364,Sucursal 0364,Las Palmas,Malena Reig,16039.5
0365,Sucursal 0365,Salamanca,Bernabé Simó,10683.41
0366,Sucursal 0366,Cuenca,Jose Francisco Barberá,13585.28
0367,Sucursal 0367,Ceuta,Miguel Seguí,15272.529999999999
0368,Sucursal 0368,Ciudad,Amador Ribera,11947.6
0369,Sucursal 0369,La Rioja,Eustaquio Mata,10260.15
0370,Sucursal 0370,Baleares,Abigaíl Pino,15849.02
0372,Sucursal 0372,Badajoz,Trinidad Marín,12729.43
0373,Sucursal 0373,Alicante,Edelmira Checa,15094.369999999999
0374,Sucursal 0374,Lleida,Domitila Carnero,16362.02
0375,Sucursal 0375,Badajoz,Loida Saldaña,3636.04
0376,Sucursal 0376,Granada,Casandra Bernal,21316.57
0377,Sucursal 0377,Ávila,Amaya Asensio,4063.98
0378,Sucursal 0378,Pontevedra,Lino Castell,23965.26
0379,Sucursal 0379,Huelva,Bernabé Ros,16098.710000000001
0380,Sucursal 0380,Baleares,Reinaldo Marti,23452.120000000003
0381,Sucursal 0381,Cádiz,Fernando Águila,3106.95
0382,Sucursal 0382,Cáceres,Carmela Briones,14930.22
0383,Sucursal 0383,Guipúzcoa,Héctor Conesa,5013.54
0384,Sucursal 0384,Lugo,Nilda Madrid,11900.95
0385,Sucursal 0385,Castellón,Lorenza Anglada,33250.82
0386,Sucursal 0386,Cantabria,Chita Vidal,17469.36
0388,Sucursal 0388,La Rioja,Rosa Barrena,17983.04
0389,Sucursal 0389,Cáceres,Leocadia Puente,13563.42
0390,Sucursal 0390,Girona,Darío Vallés,17465.21
0391,Sucursal 0391,Lleida,Fulgencio Chacón,8267.31
0392,Sucursal 0392,León,Florencia Villalonga,7502.389999999999
0393,Sucursal 0393,Huesca,Pepe Bas,11186.96
0394,Sucursal 0394,Teruel,Lorenzo Avilés,3405.79
0395,Sucursal 0395,Pontevedra,Wilfredo Sarmiento,7004.56
0396,Sucursal 0396,Valencia,Rubén Expósito,9231.61
0397,Sucursal 0397,Murcia,Eleuterio Jódar,12831.380000000001
0398,Sucursal 0398,Murcia,Evelia Sáez,1278.86
0399,Sucursal 0399,Ciudad,Victoriano Roldan,15299.15
0400,Sucursal 0400,La Coruña,Florencia Soler,18217.15
0401,Sucursal 0401,Cantabria,Alma Arnaiz,19644.739999999998
0402,Sucursal 0402,Navarra,Nacio Perez,14570.59
0403,Sucursal 0403,Cádiz,Graciano Rodríguez,23618.39
0404,Sucursal 0404,Álava,Roque Rivero,17694.45
0405,Sucursal 0405,Albacete,Pastor Amor,5254.52
0406,Sucursal 0406,Huesca,Casandra Reguera,7352.36
0407,Sucursal 0407,Sevilla,Ariadna Rodrigo,2372.08
0408,Sucursal 0408,Asturias,Bonifacio Alsina,24312.3
0409,Sucursal 0409,Castellón,José Luis Gilabert,11576.73
0410,Sucursal 0410,Santa Cruz de Tenerife,Sol Redondo,27243.4
0411,Sucursal 0411,Valencia,Aroa Bou,18386.23
0412,Sucursal 0412,Navarra,Antonia Madrigal,23169.63
0413,Sucursal 0413,Zaragoza,Isidoro Sans,19842.64
0414,Sucursal 0414,La Coruña,Margarita Gallart,15323.86
0415,Sucursal 0415,Castellón,Cecilio Peña,18728.73
0416,Sucursal 0416,Valladolid,Sandalio Borrego,9766.22
0417,Sucursal 0417,Tarragona,Artemio Morata,5398.01
0418,Sucursal 0418,Jaén,Ulises Mur,15665.7
0419,Sucursal 0419,León,Gloria Roma,21880.25
0420,Sucursal 0420,Soria,Marianela Bermudez,22364.96
0421,Sucursal 0421,Palencia,Sabina Juárez,12429.3
0422,Sucursal 0422,Ciudad,Hernando Torrent,29686.52
0423,Sucursal 0423,Segovia,Candelaria Mate,19432.08
0424,Sucursal 0424,Guipúzcoa,Remigio Marin,21816.07
0425,Sucursal 0425,La Rioja,Tania Manuel,12121.33
0426,Sucursal 0426,La Rioja,Adelia Cuéllar,13883.189999999999
0427,Sucursal 0427,Girona,Samu Cortés,4132.16
0428,Sucursal 0428,Ciudad,Celestina Daza,31949.64
0429,Sucursal 0429,Lleida,Celestino Adán,7149.01
0430,Sucursal 0430,Navarra,Petrona Abril,10409.279999999999
0431,Sucursal 0431,Girona,Chucho Benitez,14721.52
0432,Sucursal 0432,Lugo,Camilo Noriega,30279.4
0433,Sucursal 0433,Córdoba,Apolonia Juan,12203.85
0434,Sucursal 0434,Zamora,Ainoa Sanz,21659.18
0435,Sucursal 0435,Badajoz,Valentina Calzada,9363.75
0436,Sucursal 0436,Vizcaya,Eligio Escobar,5323.2
0437,Sucursal 0437,La Rioja,Azucena Alfonso,9799.55
0438,Sucursal 0438,Guipúzcoa,Alejandro Pelayo,18657.04
0439,Sucursal 0439,Zamora,María Dolores León,19586.47
0440,Sucursal 0440,Lugo,Dominga Valencia,3048.38
0441,Sucursal 0441,Segovia,Chema Antúnez,16083.93
0442,Sucursal 0442,Álava,Leocadia Arco,16838.2
0443,Sucursal 0443,Toledo,Renata Mayol,12405.119999999999
0444,Sucursal 0444,Ávila,Rosalva Esparza,29068.57
0445,Sucursal 0445,Madrid,Bernardita Toledo,16701.23
0446,Sucursal 0446,Asturias,Marcelino Manrique,9649.81
0447,Sucursal 0447,Segovia,Raúl Boada,12014.19
0448,Sucursal 0448,Zamora,Rosario Peláez,7260.14
0449,Sucursal 0449,León,Malena Agudo,17656.08
0450,Sucursal 0450,Pontevedra,Coral Llamas,16484.690000000002
0451,Sucursal 0451,Zamora,Ana Esparza,11692.81
0452,Sucursal 0452,Murcia,Jesús Gallardo,21521.19
