Client_ID,Type_Client,Name,Surname,Date_Birth,Gender,Address,City,Province,Country,Phone,Email,Registration_Date,Customer_Segment,Customer_Lifetime_Value,Status
28,Individual,Isabela,Exposito Heras,1944-01-03,Hombre,"Via Manu Pedro 293, Vilalba",Vilalba,Lugo,España,+34 900 62 97 30,isabela.exposito@hotmail.com,2020-09-23,Bronce,17480.39,Activo
29,Individual,Alicia,Mínguez Dominguez,1981-08-10,Mujer,"Acceso Teodosio Blanco 205, Tarragona",Tarragona,Tarragona,España,+34 928 80 70 75,alicia.minguez@outlook.com,2023-03-15,Plata,25697.27,Activo
30,Individual,Valerio,Puerta Pedraza,1961-12-29,Hombre,"Urbanización Santiago Paz 213, Terrassa",Terrassa,Barcelona,España,+34844 493 911,valerio.puerta@outlook.com,2020-05-14,Oro,13365.66,Activo
31,Individual,Toribio,Palmer Gil,1937-07-13,Hombre,"Glorieta de Maxi Benito 230, Salou",Salou,Tarragona,España,+34941 36 86 09,toribio.palmer@hotmail.com,2024-04-11,Plata,15973.08,Activo
32,Individual,Ciríaco,Tena Montenegro,1947-08-15,Mujer,"Plaza Erasmo Boada 220, Puente Genil",Puente Genil,Córdoba,España,+34 947780116,ciriaco.tena@welfordbank.es,2020-10-27,Bronce,19545.22,Activo
33,Individual,Marcial,Mayol Montes,1961-05-14,Hombre,"Vial Ana Luís 207, Benavente",Benavente,Zamora,España,+34 982 31 24 65,marcial.mayol@outlook.com,2022-11-28,Bronce,15589.27,Activo
34,Individual,Francisco Jose,Menendez Salcedo,2003-11-02,Hombre,"Ronda de Leandro Álvarez 68, Málaga",Málaga,Málaga,España,+34 876 05 63 65,franciscojose.menendez@gmail.com,2023-05-29,Oro,25851.05,Activo
35,Individual,Ámbar,Bauzà Pareja,1989-12-31,Mujer,"Avenida de Aitor Flores 111, Tarancón",Tarancón,Cuenca,España,+34 744 83 40 02,ambar.bauza@welfordbank.es,2024-01-17,Bronce,28093.62,Activo
36,Individual,María Jesús,Fonseca Molins,1940-04-30,Mujer,"Calle Haydée Monreal 266, Soria",Soria,Soria,España,+34884 928 039,mariajesus.fonseca@gmail.com,2022-10-18,Bronce,6942.88,Activo
37,Individual,Trini,Galán Feliu,1965-06-25,Mujer,"Rambla Cristóbal Jaume 114, Elche",Elche,Alicante,España,+34841832905,trini.galan@outlook.com,2025-05-04,Plata,11022.29,Activo
38,Individual,Espiridión,Borja Morera,1973-09-02,Hombre,"Vial Adrián Laguna 284, Dos Hermanas",Dos Hermanas,Sevilla,España,+34842 835 162,espiridion.borja@welfordbank.es,2024-09-20,Bronce,14296.75,Inactivo
39,Individual,Renata,Gómez Lluch,1990-03-27,Hombre,"Pasadizo Consuelo Cózar 214, Toledo",Toledo,Toledo,España,+34 984293528,renata.gomez@welfordbank.es,2024-09-19,Oro,23196.28,Activo
40,Individual,Nerea,Díaz Peña,1974-07-08,Hombre,"Calle Sosimo Cantero 275, Ponferrada",Ponferrada,León,España,+34980 19 73 75,nerea.diaz@hotmail.com,2021-03-26,Plata,21315.26,Inactivo
41,Individual,Claudia,Casanovas Martinez,1954-10-05,Mujer,"Vial de Marcial Iñiguez 72, Roquetas de Mar",Roquetas de Mar,Almería,España,+34987 375 756,claudia.casanovas@gmail.com,2024-05-19,Plata,20962.86,Activo
42,Individual,Hector,Garay Vallejo,1958-11-21,Hombre,"Pasaje de América Sanabria 114, Toledo",Toledo,Toledo,España,+34965 44 95 15,hector.garay@welfordbank.es,2022-04-10,Bronce,20178.45,Activo
43,Individual,Lorena,Sevilla Villegas,2001-11-26,Mujer,"Callejón de Elisabet Clavero 219, Monzón",Monzón,Huesca,España,+34843 065 073,lorena.sevilla@gmail.com,2023-08-27,Oro,21533.86,Inactivo
44,Individual,Ángela,Segura Morell,1950-05-16,Mujer,"Ronda de Pascuala Feijoo 146, Huelva",Huelva,Huelva,España,+34822239595,angela.segura@hotmail.com,2022-02-05,Plata,15142.78,Activo
45,Individual,Ainoa,Moll Echeverría,1991-07-29,Mujer,"Pasadizo Almudena Campo 74, Calatayud",Calatayud,Zaragoza,España,+34 730 324 639,ainoa.moll@gmail.com,2020-11-09,Bronce,6685.91,Activo
46,Individual,Pascuala,Castejón Ricart,1944-10-14,Hombre,"Paseo de Calisto Espejo 254, Cuéllar",Cuéllar,Segovia,España,+34 746593007,pascuala.castejon@hotmail.com,2025-03-10,Bronce,32575.37,Inactivo
47,Empresa,Edgardo Tovar Ortiz S.L.,,2009-07-19,,"Calle Toni Vera 189, Teruel",Teruel,Teruel,España,+34 886 48 41 10,edgardotov.empresa@hotmail.com,2021-05-12,Oro,12506.61,Activo
48,Individual,Águeda,Llabrés Bas,1985-11-09,Hombre,"Urbanización Berto Arce 12, Aranda de Duero",Aranda de Duero,Burgos,España,+34 704 723 742,agueda.llabres@outlook.com,2021-11-21,Plata,15931.83,Activo
49,Individual,Joan,Giménez Dueñas,1952-12-14,Mujer,"C. Anselma Cervantes 188, Melilla",Melilla,Melilla,España,+34 945498167,joan.gimenez@gmail.com,2022-09-29,Bronce,14167.18,Activo
50,Individual,Juan Carlos,Bárcena Ruiz,1991-06-01,Mujer,"Callejón de Bonifacio Parejo 188, Balaguer",Balaguer,Lleida,España,+34962 369 232,juancarlos.barcena@welfordbank.es,2023-07-02,Oro,10936.55,Activo
51,Individual,Anita,Almagro Sobrino,1963-08-11,Hombre,"Ronda de Soledad Mesa 123, Segovia",Segovia,Segovia,España,+34877407898,anita.almagro@gmail.com,2023-09-08,Plata,14259.4,Activo
52,Individual,Águeda,Baños Tudela,1952-06-30,Mujer,"Plaza Wálter Ricart 195, Toledo",Toledo,Toledo,España,+34 620277318,agueda.banos@welfordbank.es,2023-04-08,Platino,23927.15,Activo
53,Individual,Guillermo,Gelabert Azorin,1960-05-28,Hombre,"Plaza de Marisa Tello 4, Cáceres",Cáceres,Cáceres,España,+34 949 30 03 62,guillermo.gelabert@welfordbank.es,2020-09-12,Bronce,23437.29,Inactivo
54,Individual,Maricruz,Figueras Lloret,1988-12-10,Mujer,"Ronda Paz Zapata 24, Barcelona",Barcelona,Barcelona,España,+34971821060,maricruz.figueras@hotmail.com,2025-03-17,Bronce,27493.82,Activo
55,Empresa,Construcción Española S.Coop.,,1960-05-12,,"Callejón Teodora Mariño 253, Azuqueca de Henares",Azuqueca de Henares,Guadalajara,España,+34988588017,construcci.empresa@outlook.com,2023-10-08,Plata,4357.26,Activo
56,Individual,Anita,Uribe Bermúdez,1951-01-29,Mujer,"Rambla Angelina Saura 77, Irún",Irún,Guipúzcoa,España,+34978 78 33 52,anita.uribe@welfordbank.es,2022-10-14,Bronce,24277.04,Activo
57,Empresa,Amor Seguí Gordillo S.L.,,1999-03-11,,"Pasadizo de Modesta Cabañas 228, Guadalajara",Guadalajara,Guadalajara,España,+34944 71 74 09,amorseguig.empresa@gmail.com,2025-04-07,Plata,11706.7,Activo
58,Individual,Raquel,Portillo Portillo,1989-02-22,Hombre,"Via de Nando Nieto 131, Oviedo",Oviedo,Asturias,España,+34826 880 080,raquel.portillo@gmail.com,2024-04-05,Plata,7174.67,Inactivo
59,Individual,Geraldo,Franco Jurado,1997-12-05,Mujer,"Pasadizo de Sebastián Zurita 264, Puente Genil",Puente Genil,Córdoba,España,+34 803375917,geraldo.franco@gmail.com,2021-07-31,Platino,20269.89,Inactivo
60,Empresa,Desarrollo Olivares & Asociados S.Com.,,1965-05-27,,"Vial Martina Gras 163, Ceuta",Ceuta,Ceuta,España,+34872627408,desarrollo.empresa@outlook.com,2020-03-09,Oro,6762.23,Inactivo
61,Individual,Quirino,Cabrero Rosell,1937-11-16,Hombre,"Avenida Íngrid Juan 78, Pamplona",Pamplona,Navarra,España,+34988 472 433,quirino.cabrero@gmail.com,2023-11-19,Oro,6647.8,Activo
62,Empresa,Plana y asociados S.Com.,,1955-07-12,,"Callejón José María Gisbert 149, Aranda de Duero",Aranda de Duero,Burgos,España,+34871 05 41 08,planayasoc.empresa@hotmail.com,2021-10-01,Oro,9270.83,Inactivo
63,Individual,Edgardo,Acero Llamas,1983-12-27,Hombre,"Acceso Manola Cerdán 259, Ceuta",Ceuta,Ceuta,España,+34823 215 286,edgardo.acero@gmail.com,2023-01-26,Plata,29516.11,Activo
64,Individual,Ainoa,Arroyo Aroca,1998-10-28,Mujer,"Avenida de Amada Rius 68, Ourense",Ourense,Ourense,España,+34841424289,ainoa.arroyo@gmail.com,2025-01-08,Plata,32255.96,Inactivo
65,Empresa,Vega y asociados S.L.N.E,,1982-04-05,,"Cuesta de Gaspar Ugarte 295, Cádiz",Cádiz,Cádiz,España,+34 833 723 283,vegayasoci.empresa@outlook.com,2020-04-03,Bronce,9712.47,Activo
66,Empresa,Mulet & Asociados S.Com.,,1961-03-15,,"Ronda Marisa Castell 88, Murcia",Murcia,Murcia,España,+34733 423 233,muletasoci.empresa@gmail.com,2020-06-22,Plata,18888.33,Activo
67,Individual,Omar,Clavero Alonso,1982-03-12,Hombre,"Pasaje de Jacinta Arnau 299, Almazán",Almazán,Soria,España,+34886 438 503,omar.clavero@welfordbank.es,2025-04-22,Plata,18279.53,Activo
68,Empresa,Lasa y Jáuregui S.L.,,1974-08-24,,"Pasaje de Álvaro Checa 131, Pontevedra",Pontevedra,Pontevedra,España,+34844298407,lasayjaure.empresa@outlook.com,2022-01-29,Plata,13210.47,Activo
69,Individual,Ciro,Aguiló Moraleda,2002-01-11,Mujer,"Via Ana Belén Bravo 252, Linares",Linares,Jaén,España,+34 826 41 44 81,ciro.aguilo@welfordbank.es,2023-05-09,Bronce,11244.63,Inactivo
70,Individual,Fermín,Lamas Arribas,1980-02-23,Mujer,"Paseo de Jesusa Aznar 109, Cartagena",Cartagena,Murcia,España,+34 976 25 56 47,fermin.lamas@outlook.com,2023-02-27,Plata,21287.56,Activo
71,Empresa,Consultoría Avanzadas S.A.,,2021-11-14,,"Via de Yolanda Sánchez 217, Telde",Telde,Las Palmas,España,+34744 99 34 79,consultori.empresa@outlook.com,2022-02-20,Bronce,27274.46,Activo
72,Individual,Mar,Terrón Godoy,1951-06-10,Mujer,"Glorieta de Tadeo Manuel 71, Hellín",Hellín,Albacete,España,+34 986 83 74 03,mar.terron@gmail.com,2021-06-23,Bronce,29138.94,Activo
73,Individual,Florentina,Fortuny Laguna,1955-11-05,Mujer,"Cañada Conrado Romeu 133, Guardo",Guardo,Palencia,España,+34882 835 819,florentina.fortuny@hotmail.com,2025-04-10,Bronce,14550.85,Inactivo
74,Empresa,Consultoría Viñas y asociados S.Coop.,,1963-07-13,,"Acceso de Jenny Ferrándiz 73, Salou",Salou,Tarragona,España,+34901079353,consultori.empresa@hotmail.com,2022-03-14,Bronce,21407.7,Activo
75,Individual,Eustaquio,Bou Baños,1938-09-17,Hombre,"Pasaje de Jordán Lasa 90, Cartagena",Cartagena,Murcia,España,+34 927 85 36 84,eustaquio.bou@welfordbank.es,2024-12-15,Bronce,14519.72,Inactivo
76,Individual,Andrés Felipe,Cabrero Tirado,1935-01-16,Hombre,"Alameda de Itziar Vélez 13, Soria",Soria,Soria,España,+34875432417,andresfelipe.cabrero@hotmail.com,2021-09-25,Plata,32129.43,Inactivo
77,Individual,Felipe,Araujo Higueras,1935-12-22,Mujer,"Cuesta Buenaventura Barranco 82, Salou",Salou,Tarragona,España,+34 949 79 75 09,felipe.araujo@gmail.com,2022-07-01,Bronce,23856.05,Activo
78,Individual,Claudio,Soto Jara,1971-06-27,Hombre,"Plaza de Rosenda Pou 193, Huelva",Huelva,Huelva,España,+34924 39 58 51,claudio.soto@gmail.com,2021-04-14,Plata,12652.95,Inactivo
79,Individual,Cintia,Ferrer Mendoza,1963-02-15,Mujer,"Cañada Sara Iniesta 28, Elche",Elche,Alicante,España,+34882330506,cintia.ferrer@hotmail.com,2024-10-24,Plata,13792.66,Activo
80,Individual,Susanita,Oliveras Lopez,1970-12-02,Hombre,"Cañada de Artemio García 153, Cartagena",Cartagena,Murcia,España,+34803 427 969,susanita.oliveras@gmail.com,2022-06-09,Platino,6941.17,Activo
81,Individual,Marisol,Juárez Ávila,1953-10-06,Hombre,"Ronda de Aristides Rodríguez 121, Avilés",Avilés,Asturias,España,+34 826 759 216,marisol.juarez@outlook.com,2024-09-22,Bronce,19743.26,Activo
82,Empresa,Minería del Mediterráneo S.A.,,2010-05-27,,"Plaza de Vinicio Calleja 118, Móstoles",Móstoles,Madrid,España,+34 988674040,mineriadel.empresa@hotmail.com,2020-10-13,Plata,19109.53,Activo
83,Individual,Nicolás,Bermúdez Aguilar,1967-07-22,Hombre,"Alameda de Nicolás Oliva 198, Murcia",Murcia,Murcia,España,+34841 637 597,nicolas.bermudez@hotmail.com,2023-02-04,Bronce,19765.78,Activo
84,Individual,Arturo,Montserrat Acevedo,1965-09-08,Mujer,"Cañada de Agustín Palau 265, Mérida",Mérida,Badajoz,España,+34924 15 01 16,arturo.montserrat@outlook.com,2021-12-19,Plata,28078.96,Activo
85,Empresa,Héctor Dueñas Bayón S.Com.,,1962-07-30,,"Calle de Agapito Marti 224, Santander",Santander,Cantabria,España,+34849 43 91 65,hectorduen.empresa@welfordbank.es,2024-11-02,Plata,21065.72,Activo
86,Individual,Leandro,Quero Orozco,1967-01-19,Mujer,"Plaza de Gracia Vallejo 160, Murcia",Murcia,Murcia,España,+34 841346018,leandro.quero@welfordbank.es,2022-11-08,Bronce,24117.67,Activo
87,Individual,Inocencio,Llano Sancho,1943-09-16,Hombre,"Rambla Jovita Cabeza 235, Lorca",Lorca,Murcia,España,+34 806492676,inocencio.llano@gmail.com,2024-05-26,Plata,17374.41,Activo
88,Empresa,Carmela Moliner Benavides S.Coop.,,1984-10-22,,"Ronda de Marita Chacón 30, Plasencia",Plasencia,Cáceres,España,+34 848 345 766,carmelamol.empresa@welfordbank.es,2024-11-11,Plata,21538.4,Inactivo
89,Individual,Rosa,Osorio Segura,1964-07-17,Hombre,"Avenida Dulce Gilabert 187, Hellín",Hellín,Albacete,España,+34 643 579 378,rosa.osorio@hotmail.com,2024-01-28,Oro,22039.17,Activo
90,Individual,Graciana,Guzman Bilbao,1994-10-17,Hombre,"C. Serafina Verdejo 218, Burgos",Burgos,Burgos,España,+34 871 292 295,graciana.guzman@welfordbank.es,2022-10-01,Bronce,28157.79,Activo
91,Individual,Teobaldo,Requena Posada,1978-12-23,Hombre,"Via de Eloísa Coca 121, Cuéllar",Cuéllar,Segovia,España,+34974 841 268,teobaldo.requena@gmail.com,2022-01-14,Platino,40249.6,Activo
92,Individual,Reyna,Sandoval Uriarte,1975-05-21,Hombre,"Alameda Ismael Parra 151, Ourense",Ourense,Ourense,España,+34 884 72 34 72,reyna.sandoval@gmail.com,2020-01-23,Plata,13731.94,Activo
93,Individual,Tecla,Vilalta Gaya,1992-10-28,Hombre,"Camino de Tere Cabrero 279, Andújar",Andújar,Jaén,España,+34 885206826,tecla.vilalta@gmail.com,2021-03-19,Plata,15794.29,Activo
94,Individual,Jordi,Suarez Camino,1947-06-11,Hombre,"Cañada Jorge Solano 253, Ávila",Ávila,Ávila,España,+34 845 11 14 22,jordi.suarez@welfordbank.es,2024-10-01,Plata,23757.0,Activo
95,Individual,Hermenegildo,Ayllón Torrecilla,1991-08-02,Hombre,"Plaza de Fortunata Villanueva 183, Aranda de Duero",Aranda de Duero,Burgos,España,+34 944 46 61 19,hermenegildo.ayllon@outlook.com,2022-01-23,Bronce,16395.48,Activo
96,Individual,Irma,Castell Guardiola,1970-01-23,Mujer,"Acceso Carmen Goñi 236, Palencia",Palencia,Palencia,España,+34 828609669,irma.castell@welfordbank.es,2025-05-11,Plata,19547.62,Activo
97,Empresa,Lorenzo Fuentes Arranz S.L.N.E,,2014-01-17,,"Rambla Aurora Serrano 195, Terrassa",Terrassa,Barcelona,España,+34 942 670 869,lorenzofue.empresa@outlook.com,2021-03-31,Bronce,9241.17,Activo
98,Individual,Oriana,Plaza Vallejo,1957-02-11,Mujer,"Glorieta Rosaura Amorós 24, Murcia",Murcia,Murcia,España,+34957 858 951,oriana.plaza@outlook.com,2024-05-14,Bronce,28802.9,Activo
99,Individual,Ainoa,Albero Mármol,1976-03-11,Mujer,"Callejón Amarilis Arribas 270, Santander",Santander,Cantabria,España,+34950077555,ainoa.albero@gmail.com,2022-08-12,Bronce,25352.85,Activo
100,Individual,Eusebio,Bueno Belda,1971-12-21,Hombre,"Cuesta Sigfrido Arroyo 230, Guadalajara",Guadalajara,Guadalajara,España,+34844 553 982,eusebio.bueno@hotmail.com,2022-07-08,Plata,14664.84,Activo
101,Individual,Salud,Pino Pereira,1945-10-09,Hombre,"Cañada de Hilda Balaguer 169, San Sebastián",San Sebastián,Guipúzcoa,España,+34920 58 10 04,salud.pino@welfordbank.es,2024-08-25,Oro,20972.76,Inactivo
102,Empresa,Dimas Juárez Gisbert S.A.,,1981-07-05,,"Pasadizo de Marisol Abascal 120, Avilés",Avilés,Asturias,España,+34872 49 41 45,dimasjuare.empresa@outlook.com,2020-08-08,Plata,18462.21,Inactivo
103,Empresa,Talleres Solera S.L.N.E,,1960-06-04,,"Vial de Isaías Borrell 222, Roquetas de Mar",Roquetas de Mar,Almería,España,+34 732 885 734,talleresso.empresa@welfordbank.es,2022-04-18,Oro,22938.07,Activo
104,Individual,Casemiro,Español Tur,1944-11-03,Hombre,"Plaza Rodolfo Jiménez 61, Motril",Motril,Granada,España,+34 988 126 961,casemiro.espanol@outlook.com,2022-09-25,Bronce,32487.12,Activo
105,Individual,Gervasio,Díaz Montoya,1944-10-21,Mujer,"Cuesta de Kike Giménez 154, Castellón de la Plana",Castellón de la Plana,Castellón,España,+34 925 32 33 28,gervasio.diaz@outlook.com,2023-06-12,Oro,13786.26,Activo
106,Individual,Martirio,Vallés Vazquez,1971-09-18,Hombre,"Pasadizo Manuelita Arcos 70, Aranda de Duero",Aranda de Duero,Burgos,España,+34920 865 102,martirio.valles@outlook.com,2024-11-21,Bronce,12543.26,Activo
107,Individual,Rita,Roselló Fuertes,1999-05-18,Mujer,"Pasaje Consuela Cuesta 59, Huelva",Huelva,Huelva,España,+34 921 77 14 65,rita.rosello@outlook.com,2020-04-25,Oro,9042.57,Activo
108,Individual,Heraclio,García Castrillo,1961-11-09,Hombre,"Cuesta Gracia Granados 276, Alicante",Alicante,Alicante,España,+34836284939,heraclio.garcia@outlook.com,2021-02-18,Oro,17166.11,Activo
109,Individual,Alcides,Hierro Fabregat,1993-09-28,Mujer,"Via de Germán Ferrández 232, Alcalá de Henares",Alcalá de Henares,Madrid,España,+34 948 309 522,alcides.hierro@outlook.com,2023-12-26,Plata,7823.65,Inactivo
110,Empresa,Desarrollo Galván y asociados S.A.,,2007-05-11,,"Rambla de Abraham Naranjo 107, Medina del Campo",Medina del Campo,Valladolid,España,+34973988948,desarrollo.empresa@hotmail.com,2023-03-19,Plata,37368.98,Inactivo
111,Empresa,Valle & Asociados S.L.U.,,1969-11-07,,"Alameda de Guiomar Garcés 60, San Andrés del Rabanedo",San Andrés del Rabanedo,León,España,+34928334769,valleasoci.empresa@hotmail.com,2024-09-30,Plata,25691.3,Inactivo
112,Individual,Ana,Maestre Aragón,1938-12-06,Hombre,"Camino de Eugenio Larrea 103, Guadalajara",Guadalajara,Guadalajara,España,+34 887746074,ana.maestre@hotmail.com,2024-10-13,Plata,19470.51,Activo
113,Individual,Eleuterio,Abascal Nicolás,2006-07-13,Mujer,"Plaza David Almansa 243, Lleida",Lleida,Lleida,España,+34 928 99 15 27,eleuterio.abascal@hotmail.com,2024-02-27,Bronce,32614.71,Activo
114,Individual,Esther,Peña Palma,1985-01-02,Mujer,"Calle de Victorino Marquez 163, Alicante",Alicante,Alicante,España,+34 941 151 329,esther.pena@welfordbank.es,2022-07-12,Plata,21769.04,Inactivo
115,Individual,María Pilar,Francisco Cid,1955-10-01,Hombre,"Rambla Arcelia Catalá 137, Béjar",Béjar,Salamanca,España,+34 822 27 61 69,mariapilar.francisco@outlook.com,2021-11-23,Oro,25537.31,Activo
116,Individual,Hermenegildo,Duarte Martinez,1997-12-04,Mujer,"Cuesta Susanita Franch 199, Oviedo",Oviedo,Asturias,España,+34 883 432 773,hermenegildo.duarte@gmail.com,2022-02-04,Oro,28886.43,Activo
117,Individual,Julia,Luna Aguado,1974-04-18,Mujer,"Plaza de Reyna Villalobos 53, Granada",Granada,Granada,España,+34 923407322,julia.luna@outlook.com,2020-06-04,Plata,7354.39,Activo
118,Individual,Amaya,Fabra Escribano,1985-02-20,Hombre,"Pasadizo de María Manuela Zabala 27, Jerez de la Frontera",Jerez de la Frontera,Cádiz,España,+34 888261607,amaya.fabra@welfordbank.es,2024-07-20,Bronce,7470.6,Activo
119,Individual,Marisol,Mayo Bas,1942-12-18,Mujer,"Calle Julieta Ferrera 140, Alcañiz",Alcañiz,Teruel,España,+34944 265 935,marisol.mayo@welfordbank.es,2022-10-15,Bronce,28173.32,Activo
120,Individual,Gabriel,Lasa Zurita,1992-06-17,Hombre,"Plaza de Jerónimo Cano 7, Jerez de la Frontera",Jerez de la Frontera,Cádiz,España,+34 881681135,gabriel.lasa@outlook.com,2021-10-25,Bronce,15181.61,Activo
121,Individual,Modesto,Raya Porras,1946-05-04,Mujer,"Avenida de Nieves Arana 299, Villarreal",Villarreal,Castellón,España,+34887790459,modesto.raya@welfordbank.es,2024-10-02,Bronce,26192.48,Activo
